time_seconds,bus650_magnitude,bus650_angle,bus680_magnitude,bus680_angle,bus692_magnitude,bus692_angle
32.0,0.9999452162966623,-0.00017344693156829086,0.9880013982903616,-0.0800812281870158,0.9880013781385415,-0.08008122090928964
33.0,0.9999400011031263,-0.00017662779951210737,0.9861874448300489,-0.08234784975590725,0.9861874244192064,-0.0823478422872219
34.0,0.9999420385710878,-0.0001753983674294793,0.9868935973523517,-0.08146070362731399,0.9868935770429197,-0.08146069623246524
35.0,0.9999490040638451,-0.0001711004802604901,0.9893090305761839,-0.07843611970404632,0.9893090106124931,-0.07843611256520812
36.0,0.999956921385633,-0.00016619258862640246,0.9920665519118252,-0.07496399579973838,0.9920665323423944,-0.07496398895076012
37.0,0.9999619113727342,-0.00016305308102880042,0.9937936370847908,-0.07280162749989241,0.9937936177643266,-0.07280162083229738
38.0,0.9999616364800185,-0.00016324164562637967,0.9937061948022494,-0.0729250401383124,0.9937061754669606,-0.07292503346094872
39.0,0.9999560199660059,-0.0001667815039766291,0.9917523046153968,-0.07536796537481742,0.9917522850006834,-0.07536795849197266
40.0,0.9999474781895811,-0.00017207272588218005,0.9887729341584687,-0.07909746096091405,0.9887729141178864,-0.07909745376469778
41.0,0.9999398517214597,-0.0001767019494445698,0.9861253809545795,-0.08239655136131008,0.9861253605373095,-0.08239654388599252
42.0,0.9999371650256418,-0.00017833297549228362,0.985206008868384,-0.08357128531387344,0.9852059883186174,-0.0835712777403251
43.0,0.9999417951985902,-0.00017552939932655672,0.9868198932749008,-0.08157466840132643,0.9868198729524822,-0.08157466099858478
44.0,0.9999533662460351,-0.00016841117810062386,0.9908271185411681,-0.07652751570401435,0.9908270987942261,-0.07652750872477104
45.0,0.9999690510825939,-0.0001585543118785677,0.9962847564128784,-0.06965906377194085,0.9962847374478795,-0.06965905736514737
46.0,0.9999844568355472,-0.00014859537674642183,1.0016596905373922,-0.06289344099493613,1.001659672342459,-0.06289343514751243
47.0,0.9999955539117464,-0.00014128374865805923,1.005597211827362,-0.05821378170464669,1.0055971941826634,-0.058213776247828225
48.0,0.9999997750933091,-0.00013799956417330316,1.0004758940848377,-0.05676461886503963,1.0004758767372874,-0.05676461352883517
49.0,0.9999972721998478,-0.00013968292217239356,0.9995825517833055,-0.05789658867105395,0.9995825343074182,-0.05789658324266328
50.0,0.9999900511060519,-0.00014447087727256314,0.9970330743269721,-0.06113703083770721,0.9970330564877786,-0.06113702514406129
51.0,0.9999818231958353,-0.00014985068087080552,0.9941582280903225,-0.06481999829383628,0.9941582098357009,-0.064819992298169
52.0,0.9999763362404955,-0.00015340194863467925,0.9922346789071091,-0.06725668310769575,0.9922346603751075,-0.0672566769100288
53.0,0.9999760455793821,-0.00015358301687832211,0.9921382667478277,-0.0673882819547247,0.9921382482012562,-0.06738827574607968
54.0,0.9999809211787379,-0.00015043808930555047,0.9938562742752741,-0.06522207876761543,0.9938562559743193,-0.06522207273898865
55.0,0.999988577505048,-0.00014541862326461757,0.9965300864490558,-0.061782745698225915,0.9965300685348846,-0.06178273995132918
56.0,0.9999952279863651,-0.000141053527894541,0.9988665595307608,-0.05882123540942287,0.9988665419515058,-0.05882122990728597
57.0,0.9999971514787354,-0.0001397519704642699,0.9995479354774044,-0.057943660103245205,0.9995479179960913,-0.05794365467118048
58.0,0.9999922427141382,-0.00014302413560080438,0.9978228469033924,-0.060151571657079746,0.9978228291720589,-0.060151566043960214
59.0,0.9999805213002093,-0.00015069644365913083,0.993695237143565,-0.06539835830257226,0.9936952188220244,-0.0653983522578244
60.0,0.9999644447533145,-0.00016100052905510605,0.9880580251023292,-0.07256068333149553,0.9880580059728246,-0.07256067669418102
61.0,0.999948177711009,-0.00017160413051687655,0.9890141666790334,-0.0787829649439525,0.9890141466750266,-0.07878295777443875
62.0,0.9999359246968069,-0.00017911938358867386,0.9847780697528883,-0.08412301858569862,0.9847780491392377,-0.08412301096646518
63.0,0.9999306644086974,-0.00018226144905118713,0.9829446563586087,-0.0863895314785089,0.9829446354860775,-0.08638952366510153
64.0,0.9999327209207425,-0.0001810210073838691,0.9836654673803812,-0.08549377981264732,0.9836654466099444,-0.08549377207577691
65.0,0.9999397689528503,-0.00017677818651235604,0.986111968301331,-0.08246024976366019,0.9861119478786894,-0.08246024228676177
66.0,0.9999477620422064,-0.00017188101271494382,0.9888854714045411,-0.07898277821969749,0.9888854513793707,-0.07898277103582474
67.0,0.9999528225183597,-0.00016874865775091472,0.9906304405892524,-0.07675737578620334,0.9906304208168276,-0.0767573687862771
68.0,0.999952543403705,-0.00016892953391158149,0.9905464170258644,-0.07688938730657303,0.9905463972384633,-0.07688938029673043
69.0,0.9999469049215621,-0.00017240047341060576,0.9885700296509095,-0.07933845538176924,0.9885700095830215,-0.07933844816457661
70.0,0.9999382898187957,-0.000177672010406551,0.985601136626214,-0.0830858621807368,0.9856011161304429,-0.08308585464861601
