time_seconds,pv_output_kw,ess_output_kw,soc
1.0,600.0,20.000000000000018,0.2999999999999998
2.0,664.00494839263,-29.229803881823724,0.5922980388182371
3.0,705.5012361704033,-22.223971635821904,0.8145377551764561
4.0,710.5565013482627,-17.841081149033712,0.9929485666667932
5.0,679.1153573830373,0.0,0.9929485666667932
6.0,625.0,0.0,0.9929485666667932
7.0,570.6107373853764,0.0,0.9929485666667932
8.0,538.3508786884275,0.0,0.9929485666667932
9.0,542.0515896443544,0.0,0.9929485666667932
10.0,581.6723244895,0.0,0.9929485666667932
11.0,643.3012701892219,4.9647428333339665,0.9433011383334535
12.0,704.4557981113772,4.716505691667268,0.8961360814167808
13.0,742.658477444273,4.480680407083905,0.8513292773459418
14.0,744.0130316662056,4.256646386729709,0.8087628134786446
15.0,708.5046199976609,-13.553100257538642,0.9442938160540311
16.0,650.0,-5.5706183945968935,1.0
17.0,590.9475695391664,0.0,1.0
18.0,553.8017284071749,0.0,1.0
19.0,552.4471741852424,0.0,1.0
20.0,586.8987476528827,0.0,1.0
21.0,643.3012701892219,0.0,1.0
22.0,699.2293749479946,0.0,1.0
23.0,732.262892903385,0.0,1.0
24.0,728.5621819474583,0.0,1.0
25.0,688.1677878438711,0.0,1.0
26.0,625.0000000000001,0.0,1.0
27.0,561.5583069245428,0.0,1.0
28.0,520.345198089232,0.0,1.0
29.0,515.2899329113726,0.0,1.0
30.0,546.4478979341353,0.0,1.0
31.0,599.9999999999999,5.0,0.95
32.0,653.5521020658647,4.75,0.9025
33.0,684.7100670886274,4.5125,0.857375
34.0,679.654801910768,4.286875,0.81450625
35.0,638.4416930754574,4.07253125,0.7737809375
36.0,575.0000000000001,0.0,0.7737809375
37.0,511.83221215612906,0.0,0.7737809375
38.0,471.43781805254173,-12.91344465430111,0.9029153840430111
39.0,467.7371070966149,-9.708461595698893,1.0
40.0,500.77062505200524,5.0,0.95
41.0,556.698729810778,4.75,0.9025
42.0,613.1012523471169,4.5125,0.857375
43.0,647.5528258147577,4.286875,0.81450625
44.0,646.1982715928251,4.07253125,0.7737809375
45.0,609.052430460834,0.0,0.7737809375
46.0,550.0000000000001,-17.57823110092027,0.9495632485092027
47.0,491.4953800023392,-5.043675149079729,1.0
48.0,455.9869683337943,0.0,1.0
49.0,457.34152255572695,0.0,1.0
50.0,495.5442018886222,0.0,1.0
51.0,556.698729810778,0.0,1.0
52.0,618.3276755104996,0.0,1.0
53.0,657.9484103556457,5.0,0.95
54.0,661.6491213115723,4.75,0.9025
55.0,629.3892626146237,-9.750000000000004,1.0
56.0,574.9999999999998,0.0,1.0
57.0,520.8846426169628,0.0,1.0
58.0,489.4434986517374,0.0,1.0
59.0,494.49876382959667,0.0,1.0
60.0,535.9950516073695,0.0,1.0
61.0,599.9999999999999,5.0,0.95
62.0,664.0049483926301,4.75,0.9025
63.0,705.5012361704032,4.5125,0.857375
64.0,710.5565013482626,4.286875,0.81450625
65.0,679.1153573830373,4.07253125,0.7737809375
66.0,625.0000000000006,0.0,0.7737809375
67.0,570.6107373853765,0.0,0.7737809375
68.0,538.3508786884277,0.0,0.7737809375
69.0,542.0515896443543,0.0,0.7737809375
70.0,581.6723244895002,0.0,0.7737809375
71.0,643.3012701892217,0.0,0.7737809375
72.0,704.4557981113775,0.0,0.7737809375
73.0,742.6584774442729,0.0,0.7737809375
74.0,744.0130316662057,0.0,0.7737809375
75.0,708.504619997661,0.0,0.7737809375
76.0,650.0000000000006,-11.778872958412512,0.8915696670841251
77.0,590.9475695391665,-10.843033291587489,1.0
78.0,553.8017284071749,0.0,1.0
79.0,552.4471741852423,0.0,1.0
80.0,586.8987476528829,0.0,1.0
81.0,643.3012701892218,0.0,1.0
82.0,699.2293749479942,0.0,1.0
83.0,732.2628929033848,0.0,1.0
84.0,728.5621819474582,0.0,1.0
85.0,688.1677878438712,0.0,1.0
86.0,624.9999999999999,0.0,1.0
87.0,561.5583069245429,0.0,1.0
88.0,520.3451980892322,0.0,1.0
89.0,515.2899329113724,0.0,1.0
90.0,546.4478979341354,0.0,1.0
91.0,599.9999999999998,5.0,0.95
92.0,653.5521020658641,4.75,0.9025
93.0,684.7100670886273,4.5125,0.857375
94.0,679.6548019107681,4.286875,0.81450625
95.0,638.4416930754569,4.07253125,0.7737809375
96.0,574.9999999999999,0.0,0.7737809375
97.0,511.8322121561292,-11.849380382825903,0.892274741328259
98.0,471.43781805254196,-10.7725258671741,1.0
99.0,467.7371070966147,0.0,1.0
100.0,500.77062505200547,0.0,1.0
101.0,556.6987298107779,5.0,0.95
102.0,613.1012523471173,4.75,0.9025
103.0,647.5528258147574,4.5125,0.857375
104.0,646.1982715928252,4.286875,0.81450625
105.0,609.0524304608339,4.07253125,0.7737809375
106.0,549.9999999999999,-19.659253730806682,0.9703734748080668
107.0,491.4953800023387,0.0,0.9703734748080668
108.0,455.98696833379455,0.0,0.9703734748080668
109.0,457.3415225557269,0.0,0.9703734748080668
110.0,495.5442018886215,0.0,0.9703734748080668
111.0,556.6987298107786,0.0,0.9703734748080668
112.0,618.3276755104995,0.0,0.9703734748080668
113.0,657.9484103556456,0.0,0.9703734748080668
114.0,661.6491213115725,0.0,0.9703734748080668
115.0,629.3892626146244,0.0,0.9703734748080668
116.0,574.9999999999992,0.0,0.9703734748080668
117.0,520.884642616963,0.0,0.9703734748080668
118.0,489.44349865173723,0.0,0.9703734748080668
119.0,494.4987638295964,0.0,0.9703734748080668
120.0,535.9950516073694,0.0,0.9703734748080668
121.0,599.9999999999995,4.851867374040334,0.9218548010676635
122.0,664.0049483926301,4.609274005338317,0.8757620610142803
123.0,705.5012361704034,4.378810305071402,0.8319739579635663
124.0,710.5565013482629,4.159869789817832,0.790375260065388
125.0,679.1153573830375,0.0,0.790375260065388
126.0,625.0000000000014,0.0,0.790375260065388
127.0,570.610737385376,0.0,0.790375260065388
128.0,538.3508786884278,0.0,0.790375260065388
129.0,542.0515896443542,0.0,0.790375260065388
130.0,581.6723244895,0.0,0.790375260065388
131.0,643.3012701892209,0.0,0.790375260065388
132.0,704.4557981113779,0.0,0.790375260065388
133.0,742.6584774442729,0.0,0.790375260065388
134.0,744.0130316662056,0.0,0.790375260065388
135.0,708.5046199976618,0.0,0.790375260065388
136.0,650.0000000000007,-14.44268043219954,0.9348020643873834
137.0,590.9475695391666,-6.519793561261656,1.0
138.0,553.8017284071749,0.0,1.0
139.0,552.4471741852425,0.0,1.0
140.0,586.8987476528822,0.0,1.0
141.0,643.3012701892217,0.0,1.0
142.0,699.2293749479935,5.0,0.95
143.0,732.2628929033851,4.75,0.9025
144.0,728.5621819474585,4.5125,0.857375
145.0,688.1677878438713,4.286875,0.81450625
146.0,625.0000000000001,-14.369541418960186,0.9582016641896018
147.0,561.5583069245436,0.0,0.9582016641896018
148.0,520.3451980892318,0.0,0.9582016641896018
149.0,515.2899329113725,0.0,0.9582016641896018
150.0,546.4478979341354,4.791008320948009,0.9102915809801218
151.0,599.999999999999,4.551457904900609,0.8647770019311156
152.0,653.5521020658641,4.323885009655578,0.8215381518345598
153.0,684.7100670886274,4.107690759172799,0.7804612442428318
154.0,679.6548019107679,0.0,0.7804612442428318
155.0,638.4416930754571,0.0,0.7804612442428318
156.0,575.0000000000007,0.0,0.7804612442428318
157.0,511.8322121561294,0.0,0.7804612442428318
158.0,471.4378180525422,0.0,0.7804612442428318
159.0,467.73710709661503,0.0,0.7804612442428318
160.0,500.77062505200473,0.0,0.7804612442428318
161.0,556.6987298107778,0.0,0.7804612442428318
162.0,613.1012523471172,0.0,0.7804612442428318
163.0,647.5528258147574,10.318847656038077,0.677272767682451
164.0,646.1982715928253,0.0,0.677272767682451
165.0,609.0524304608351,0.0,0.677272767682451
166.0,550.0000000000015,0.0,0.677272767682451
167.0,491.49538000233883,-19.714911714714177,0.8744218848295928
168.0,455.98696833379415,-12.557811517040719,1.0
169.0,457.34152255572684,0.0,1.0
170.0,495.5442018886225,0.0,1.0
171.0,556.6987298107784,0.0,1.0
172.0,618.3276755104993,0.0,1.0
173.0,657.9484103556455,0.0,1.0
174.0,661.6491213115729,0.0,1.0
175.0,629.3892626146245,0.0,1.0
176.0,575.0000000000007,0.0,1.0
177.0,520.884642616964,0.0,1.0
178.0,489.44349865173734,0.0,1.0
179.0,494.49876382959684,0.0,1.0
180.0,535.9950516073704,0.0,1.0
181.0,599.9999999999995,5.0,0.95
182.0,664.00494839263,4.75,0.9025
183.0,705.501236170403,10.00323142880899,0.8024676857119101
184.0,710.5565013482628,4.012338428559551,0.7623443014263146
185.0,679.1153573830376,0.0,0.7623443014263146
186.0,625.0000000000014,0.0,0.7623443014263146
187.0,570.6107373853772,-10.583966534315703,0.8681839667694716
188.0,538.3508786884274,-13.181603323052837,1.0
189.0,542.0515896443546,0.0,1.0
190.0,581.6723244894999,5.0,0.95
191.0,643.3012701892222,4.75,0.9025
192.0,704.4557981113767,4.5125,0.857375
193.0,742.6584774442729,4.286875,0.81450625
194.0,744.0130316662056,4.07253125,0.7737809375
