time_seconds,pv_output_kw,ess_output_kw,soc
1.0,600.0,20.000000000000018,0.45999999999999996
2.0,664.00494839263,-29.229803881823724,0.5184596077636474
3.0,705.5012361704033,-22.223971635821904,0.5629075510352912
4.0,710.5565013482627,-17.841081149033712,0.5985897133333586
5.0,679.1153573830373,-19.216447850744835,0.6370226090348483
6.0,625.0,-23.66872157824851,0.6843600521913453
7.0,570.6107373853764,-28.551232176594166,0.7414625165445337
8.0,538.3508786884275,-18.240314454919915,0.7779431454543735
9.0,542.0515896443544,-17.901644875628175,0.8137464352056298
10.0,581.6723244895,-14.64047372346422,0.8430273826525583
11.0,643.3012701892219,20,0.8030273826525582
12.0,704.4557981113772,20,0.7630273826525582
13.0,742.658477444273,0.0,0.7630273826525582
14.0,744.0130316662056,0.0,0.7630273826525582
15.0,708.5046199976609,-13.402642276523213,0.7898326672056046
16.0,650.0,-23.229595145727977,0.8362918574970606
17.0,590.9475695391664,-32.877963678439315,0.9020477848539392
18.0,553.8017284071749,-26.593796673323844,0.9552353782005869
19.0,552.4471741852424,0.0,0.9552353782005869
20.0,586.8987476528827,0.0,0.9552353782005869
21.0,643.3012701892219,0.0,0.9552353782005869
22.0,699.2293749479946,0.0,0.9552353782005869
23.0,732.262892903385,0.0,0.9552353782005869
24.0,728.5621819474583,0.0,0.9552353782005869
25.0,688.1677878438711,0.0,0.9552353782005869
26.0,625.0000000000001,0.0,0.9552353782005869
27.0,561.5583069245428,0.0,0.9552353782005869
28.0,520.345198089232,0.0,0.9552353782005869
29.0,515.2899329113726,0.0,0.9552353782005869
30.0,546.4478979341353,0.0,0.9552353782005869
31.0,599.9999999999999,20,0.9152353782005869
32.0,653.5521020658647,20,0.8752353782005868
33.0,684.7100670886274,20,0.8352353782005868
34.0,679.654801910768,20,0.7952353782005868
35.0,638.4416930754574,0.0,0.7952353782005868
36.0,575.0000000000001,0.0,0.7952353782005868
37.0,511.83221215612906,0.0,0.7952353782005868
38.0,471.43781805254173,-12.91331468131629,0.8210620075632193
39.0,467.7371070966149,-12.756947606341384,0.8465759027759021
40.0,500.77062505200524,20,0.8065759027759021
41.0,556.698729810778,20,0.766575902775902
42.0,613.1012523471169,0.0,0.766575902775902
43.0,647.5528258147577,0.0,0.766575902775902
44.0,646.1982715928251,0.0,0.766575902775902
45.0,609.052430460834,0.0,0.766575902775902
46.0,550.0000000000001,-17.434055007789162,0.8014440127914804
47.0,491.4953800023392,-27.264527228684,0.8559730672488484
48.0,455.9869683337943,-34.19799159144388,0.9243690504317361
49.0,457.34152255572695,-23.570792555235975,0.9715106355422081
50.0,495.5442018886222,0.0,0.9715106355422081
51.0,556.698729810778,0.0,0.9715106355422081
52.0,618.3276755104996,0.0,0.9715106355422081
53.0,657.9484103556457,20,0.931510635542208
54.0,661.6491213115723,20,0.891510635542208
55.0,629.3892626146237,-12.508409895333639,0.9165274553328753
56.0,574.9999999999998,-17.40657463094264,0.9513406045947606
57.0,520.8846426169628,0.0,0.9513406045947606
58.0,489.4434986517374,0.0,0.9513406045947606
59.0,494.49876382959667,0.0,0.9513406045947606
60.0,535.9950516073695,0.0,0.9513406045947606
61.0,599.9999999999999,20,0.9113406045947605
62.0,664.0049483926301,20,0.8713406045947605
63.0,705.5012361704032,20,0.8313406045947604
64.0,710.5565013482626,20,0.7913406045947604
65.0,679.1153573830373,0.0,0.7913406045947604
66.0,625.0000000000006,0.0,0.7913406045947604
67.0,570.6107373853765,0.0,0.7913406045947604
68.0,538.3508786884277,0.0,0.7913406045947604
69.0,542.0515896443543,0.0,0.7913406045947604
70.0,581.6723244895002,0.0,0.7913406045947604
71.0,643.3012701892217,0.0,0.7913406045947604
72.0,704.4557981113775,0.0,0.7913406045947604
73.0,742.6584774442729,0.0,0.7913406045947604
74.0,744.0130316662057,0.0,0.7913406045947604
75.0,708.504619997661,0.0,0.7913406045947604
76.0,650.0000000000006,-11.778872958412512,0.8148983505115854
77.0,590.9475695391665,-21.647704421012826,0.8581937593536111
78.0,553.8017284071749,-28.612807823715336,0.9154193750010418
79.0,552.4471741852423,-31.373621141945307,0.9781666172849324
