time,voltage_real,voltage_imag
1.0,0.9999107135875837,-0.00019452091844236573,-0.500145442388366,-0.8659076900045402,-0.49975965639626396,0.8660845273622195
2.0,0.9999107135611366,-0.0001945209286163677,-0.5001454423888221,-0.8659076899991416,-0.4997596563666592,0.8660845273594361
3.0,0.999910713560599,-0.00019452092868769912,-0.5001454423889221,-0.8659076899990592,-0.49975965636588066,0.8660845273592761
4.0,0.999910713560589,-0.00019452092868514688,-0.5001454423889271,-0.8659076899990571,-0.4997596563658605,0.866084527359269
5.0,0.9999107135605888,-0.00019452092868483587,-0.5001454423889273,-0.8659076899990573,-0.4997596563658601,0.8660845273592689
6.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
7.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
8.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
9.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
10.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
11.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
12.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
13.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
14.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
15.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
16.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
17.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
18.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
19.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
20.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
21.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
22.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
23.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
24.0,0.999910713560589,-0.00019452092868505833,-0.5001454423889273,-0.8659076899990573,-0.4997596563658602,0.8660845273592689
