time_seconds,pv_output_kw,ess_output_kw,soc
1.0,600.0,20.000000000000018,0.49
2.0,664.00494839263,-29.229803881823724,0.5046149019409119
3.0,705.5012361704033,-22.223971635821904,0.5157268877588228
4.0,710.5565013482627,-17.841081149033712,0.5246474283333397
5.0,679.1153573830373,-19.216447850744835,0.5342556522587121
6.0,625.0,-23.66872157824851,0.5460900130478363
7.0,570.6107373853764,-28.551232176594166,0.5603656291361334
8.0,538.3508786884275,-18.240314454919915,0.5694857863635934
9.0,542.0515896443544,-17.901644875628175,0.5784366088014075
10.0,581.6723244895,-14.64047372346422,0.5857568456631396
11.0,643.3012701892219,0.0,0.5857568456631396
12.0,704.4557981113772,0.0,0.5857568456631396
13.0,742.658477444273,0.0,0.5857568456631396
14.0,744.0130316662056,0.0,0.5857568456631396
15.0,708.5046199976609,-13.402159253770307,0.5924579252900247
16.0,650.0,-23.22959515161216,0.6040727228658308
17.0,590.9475695391664,-32.877975023636985,0.6205117103776493
18.0,553.8017284071749,-26.593796673185732,0.6338086087142422
19.0,552.4471741852424,-29.20150802359167,0.648409362726038
20.0,586.8987476528827,-27.72910662038086,0.6622739160362284
21.0,643.3012701892219,-23.00025961997898,0.6737740458462179
22.0,699.2293749479946,-17.698412975757584,0.6826232523340967
23.0,732.262892903385,-14.291849558905056,0.6897691771135492
24.0,728.5621819474583,-14.203420212051787,0.6968708872195751
25.0,688.1677878438711,-17.409792288776814,0.7055757833639635
26.0,625.0000000000001,-22.350305296068296,0.7167509360119977
27.0,561.5583069245428,-26.53297645399899,0.7300174242389972
28.0,520.345198089232,-27.705927757092574,0.7438703881175435
29.0,515.2899329113726,-24.386713577653207,0.7560637449063701
30.0,546.4478979341353,-16.80714057876065,0.7644673151957504
31.0,599.9999999999999,0.0,0.7644673151957504
32.0,653.5521020658647,0.0,0.7644673151957504
33.0,684.7100670886274,0.0,0.7644673151957504
34.0,679.654801910768,0.0,0.7644673151957504
35.0,638.4416930754574,0.0,0.7644673151957504
36.0,575.0000000000001,0.0,0.7644673151957504
37.0,511.83221215612906,0.0,0.7644673151957504
38.0,471.43781805254173,-12.913314800069298,0.770923972595785
39.0,467.7371070966149,-12.756947615579772,0.7773024464035749
40.0,500.77062505200524,0.0,0.7773024464035749
41.0,556.698729810778,0.0,0.7773024464035749
42.0,613.1012523471169,0.0,0.7773024464035749
43.0,647.5528258147577,0.0,0.7773024464035749
44.0,646.1982715928251,0.0,0.7773024464035749
45.0,609.052430460834,0.0,0.7773024464035749
46.0,550.0000000000001,-17.43405500782602,0.7860194739074879
47.0,491.4953800023392,-27.264527228684,0.7996517375218299
48.0,455.9869683337943,-34.19799159144388,0.8167507333175519
49.0,457.34152255572695,-23.570792555235975,0.8285361295951699
50.0,495.5442018886222,-21.753236432600964,0.8394127478114704
51.0,556.698729810778,-17.298428128963206,0.848061961875952
52.0,618.3276755104996,-12.067240972160054,0.854095582362032
53.0,657.9484103556457,20,0.844095582362032
54.0,661.6491213115723,20,0.834095582362032
55.0,629.3892626146237,-12.508160115022093,0.840349662419543
56.0,574.9999999999998,-17.4065744194416,0.8490529496292638
57.0,520.8846426169628,-20.947077707093253,0.8595264884828104
58.0,489.4434986517374,-22.08791503108154,0.8705704459983512
59.0,494.49876382959667,-18.81855677152311,0.8799797243841128
60.0,535.9950516073695,-11.209736349986121,0.8855845925591058
61.0,599.9999999999999,20,0.8755845925591058
62.0,664.0049483926301,20,0.8655845925591058
63.0,705.5012361704032,20,0.8555845925591058
64.0,710.5565013482626,20,0.8455845925591058
65.0,679.1153573830373,20,0.8355845925591058
66.0,625.0000000000006,20,0.8255845925591058
67.0,570.6107373853765,20,0.8155845925591058
68.0,538.3508786884277,20,0.8055845925591057
69.0,542.0515896443543,20,0.7955845925591057
70.0,581.6723244895002,0.0,0.7955845925591057
71.0,643.3012701892217,0.0,0.7955845925591057
72.0,704.4557981113775,0.0,0.7955845925591057
73.0,742.6584774442729,0.0,0.7955845925591057
74.0,744.0130316662057,0.0,0.7955845925591057
75.0,708.504619997661,0.0,0.7955845925591057
76.0,650.0000000000006,-11.778872958412512,0.801474029038312
77.0,590.9475695391665,-21.647704421012826,0.8122978812488184
78.0,553.8017284071749,-28.612807823715336,0.8266042851606761
79.0,552.4471741852423,-31.373621141945307,0.8422910957316487
80.0,586.8987476528829,-29.57665752924621,0.8570794244962718
81.0,643.3012701892218,-24.830277115866384,0.869494563054205
82.0,699.2293749479942,-19.584815911329436,0.8792869710098697
83.0,732.2628929033848,-16.19960318840552,0.8873867726040725
84.0,728.5621819474582,-16.146645820614314,0.8954600955143797
85.0,688.1677878438712,-19.378766177271743,0.9051494786030155
86.0,624.9999999999999,-24.273499652357255,0.9172862284291942
87.0,561.5583069245429,-28.491970203538663,0.9315322135309635
88.0,520.3451980892322,-29.678257372765415,0.9463713422173462
89.0,515.2899329113724,-26.357010170118045,0.9595498473024052
90.0,546.4478979341354,0.0,0.9595498473024052
91.0,599.9999999999998,20,0.9495498473024052
92.0,653.5521020658641,20,0.9395498473024052
93.0,684.7100670886273,20,0.9295498473024052
94.0,679.6548019107681,20,0.9195498473024052
95.0,638.4416930754569,20,0.9095498473024052
96.0,574.9999999999999,20,0.8995498473024052
97.0,511.8322121561292,-12.232488412959652,0.905666091508885
98.0,471.43781805254196,-15.384954310068588,0.9133585686639193
99.0,467.7371070966147,-14.451867195809376,0.920584502261824
100.0,500.77062505200547,-10.848966511540103,0.926008985517594
101.0,556.6987298107779,20,0.916008985517594
102.0,613.1012523471173,20,0.906008985517594
103.0,647.5528258147574,20,0.896008985517594
104.0,646.1982715928252,20,0.886008985517594
