time,pv_output_kw
0,0
1.0,173.8274624092735
2.0,302.1203152917427
3.0,382.6834323650898
4.0,456.69872981077805
5.0,565.4601588194988
6.0,707.1067811865474
7.0,836.6546104804571
8.0,909.3266739736606
9.0,923.8795325112867
10.0,922.6245560998465
11.0,948.1435911845883
12.0,1000.0
13.0,1034.7461315630323
14.0,1009.2270964782904
15.0,923.8795325112869
16.0,822.7241335952168
17.0,750.0520701020133
18.0,707.1067811865476
19.0,652.0626991979427
20.0,543.3012701892219
21.0,382.68343236508997
22.0,215.51777491329915
23.0,87.22492203082999
